from,to
Black,White
0,1
Amer-Indian-Eskimo,Other
Male,Female
1,0
Other,White
Female,Male
0,1
Other,Black
0,1
Asian-Pac-Islander,Other
Male,Female
1,0
Female,Male
0,1
Asian-Pac-Islander,Amer-Indian-Eskimo
Male,Female
1,0
Black,Amer-Indian-Eskimo
1,0
Other,White
Female,Male
0,1
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
0,1
Amer-Indian-Eskimo,Other
Male,Female
1,0
Female,Male
0,1
Amer-Indian-Eskimo,White
Female,Male
0,1
Asian-Pac-Islander,White
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
0,1
Other,Black
Female,Male
0,1
Other,White
Female,Male
0,1
Asian-Pac-Islander,Other
1,0
Amer-Indian-Eskimo,Other
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Black,Other
Male,Female
1,0
Other,Asian-Pac-Islander
0,1
Asian-Pac-Islander,Amer-Indian-Eskimo
Male,Female
1,0
Asian-Pac-Islander,Amer-Indian-Eskimo
Male,Female
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Female,Male
0,1
Amer-Indian-Eskimo,Other
Male,Female
1,0
Male,Female
1,0
Other,White
0,1
Female,Male
0,1
Male,Female
1,0
Amer-Indian-Eskimo,Black
Male,Female
1,0
Amer-Indian-Eskimo,Black
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
Female,Male
0,1
Amer-Indian-Eskimo,Black
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
Female,Male
0,1
Amer-Indian-Eskimo,Black
Female,Male
0,1
Amer-Indian-Eskimo,White
0,1
Amer-Indian-Eskimo,White
Female,Male
0,1
Amer-Indian-Eskimo,Asian-Pac-Islander
Male,Female
1,0
Amer-Indian-Eskimo,Other
Male,Female
1,0
Amer-Indian-Eskimo,Asian-Pac-Islander
Female,Male
0,1
Amer-Indian-Eskimo,Other
1,0
Amer-Indian-Eskimo,Asian-Pac-Islander
Female,Male
0,1
Female,Male
0,1
Male,Female
1,0
Amer-Indian-Eskimo,Asian-Pac-Islander
0,1
White,Asian-Pac-Islander
0,1
White,Amer-Indian-Eskimo
1,0
Male,Female
1,0
Female,Male
0,1
Female,Male
0,1
