from,to
Amer-Indian-Eskimo,White
Male,Female
1,0
Amer-Indian-Eskimo,White
0,1
Asian-Pac-Islander,White
0,1
Asian-Pac-Islander,White
Female,Male
0,1
Black,Asian-Pac-Islander
0,1
Amer-Indian-Eskimo,White
Female,Male
0,1
Black,Other
Male,Female
0,1
Amer-Indian-Eskimo,White
0,1
Asian-Pac-Islander,Black
Female,Male
0,1
Amer-Indian-Eskimo,Black
Female,Male
1,0
Other,White
0,1
Black,Other
Male,Female
1,0
Black,White
0,1
Other,White
Female,Male
0,1
Female,Male
0,1
Other,White
0,1
Black,White
Female,Male
0,1
Other,White
Female,Male
0,1
Other,Amer-Indian-Eskimo
0,1
Amer-Indian-Eskimo,White
Female,Male
0,1
Other,Amer-Indian-Eskimo
Male,Female
1,0
Amer-Indian-Eskimo,White
Female,Male
0,1
Amer-Indian-Eskimo,Black
0,1
White,Amer-Indian-Eskimo
Male,Female
0,1
White,Black
1,0
