checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex,GoodCredit
A11,21,A32,A43,1478,A63,A71,1,A102,2,A124,40.0,A141,A151,4,A173,2,A191,A202,male,0
A13,4,A31,A46,14391,A65,A71,3,A103,2,A122,53.0,A141,A152,1,A174,2,A191,A202,female,1
A12,9,A31,A42,2286,A61,A71,3,A102,4,A121,41.0,A141,A152,1,A172,2,A192,A202,male,0
A12,16,A31,A40,14391,A63,A71,4,A101,3,A123,37.0,A143,A151,2,A171,1,A192,A201,male,0
A12,48,A31,A40,2376,A63,A73,2,A102,1,A124,63.0,A142,A153,1,A172,2,A192,A202,male,0
A13,16,A33,A44,2376,A61,A73,1,A102,2,A122,72.0,A141,A153,2,A173,2,A192,A202,female,0
A12,21,A34,A44,1478,A64,A71,3,A101,3,A124,61.0,A142,A152,2,A174,2,A191,A201,female,0
A13,7,A31,A45,2376,A62,A72,4,A101,1,A123,22.0,A141,A153,3,A172,1,A192,A201,male,0
A12,21,A30,A45,14391,A62,A74,2,A101,2,A124,66.0,A142,A152,2,A172,2,A192,A201,male,0
A12,21,A30,A410,14391,A62,A71,4,A103,1,A121,47.0,A141,A153,3,A173,2,A191,A202,male,0
A13,7,A31,A48,2376,A62,A72,4,A101,1,A123,43.0,A141,A153,3,A172,1,A192,A201,female,1
