age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_greater_than_50K
22,Self-emp-not-inc,Bachelors,8,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,115,6,United-States,1
24,Federal-gov,Doctorate,14,Widowed,Tech-support,Husband,Other,Female,0,115,42,United-States,0
26,Local-gov,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,47,United-States,1
24,Local-gov,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,3820,1564,51,Cuba,1
26,Without-pay,Doctorate,13,Married-AF-spouse,Armed-Forces,Unmarried,Other,Female,12099,1828,1,Cuba,0
26,Never-worked,Bachelors,9,Widowed,Sales,Wife,Asian-Pac-Islander,Male,4386,2200,42,Jamaica,1
34,Federal-gov,Prof-school,9,Separated,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,3103,1564,1,Jamaica,0
37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,4386,1587,42,India,0
90,Private,Prof-school,1,Married-civ-spouse,Sales,Other-relative,White,Male,12099,1828,35,Mexico,1
17,Self-emp-inc,Doctorate,14,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,3103,2462,39,Puerto-Rico,1
29,Self-emp-inc,Masters,15,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Male,3103,1564,69,England,1
34,Private,Doctorate,13,Married-AF-spouse,Exec-managerial,Own-child,Other,Female,3103,1587,69,Canada,0
29,State-gov,Prof-school,9,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,0,115,42,Canada,1
26,Never-worked,Masters,8,Married-AF-spouse,Protective-serv,Unmarried,White,Male,3103,2200,69,Germany,1
29,Private,Prof-school,11,Married-civ-spouse,Other-service,Not-in-family,White,Male,3103,2462,42,Germany,1
90,Private,Masters,13,Married-AF-spouse,Priv-house-serv,Wife,Asian-Pac-Islander,Male,3103,2200,47,Iran,1
24,Self-emp-inc,10th,14,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,3820,2462,1,Philippines,1
34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,Black,Male,3820,1816,69,Italy,1
37,Never-worked,Assoc-voc,15,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,3820,1587,42,Italy,1
90,Private,Doctorate,14,Widowed,Machine-op-inspct,Not-in-family,Other,Female,12099,1828,42,Italy,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Other,Female,3820,2200,35,Poland,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Columbia,0
29,Federal-gov,Doctorate,14,Married-AF-spouse,Protective-serv,Unmarried,Other,Female,12099,115,6,Columbia,0
24,State-gov,Prof-school,9,Married-AF-spouse,Armed-Forces,Wife,Asian-Pac-Islander,Male,3820,1828,6,Columbia,1
90,Self-emp-inc,Prof-school,15,Separated,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,3820,1564,39,Cambodia,0
26,Self-emp-not-inc,Prof-school,11,Married-AF-spouse,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,12099,1587,42,Thailand,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Other,Female,3820,2200,35,Ecuador,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Laos,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Other,Female,3820,2200,35,Taiwan,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Other,Female,3820,2200,35,Portugal,0
22,Federal-gov,Prof-school,1,Married-spouse-absent,Armed-Forces,Wife,Asian-Pac-Islander,Male,4386,1894,39,Portugal,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Dominican-Republic,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Female,3820,2200,35,El-Salvador,0
26,Federal-gov,Preschool,14,Married-civ-spouse,Exec-managerial,Wife,White,Male,3820,1894,51,El-Salvador,1
90,Never-worked,Doctorate,14,Separated,Protective-serv,Not-in-family,Black,Male,3103,1894,47,France,1
24,Self-emp-not-inc,Prof-school,14,Married-AF-spouse,Armed-Forces,Husband,Other,Female,3103,1816,47,France,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Black,Female,3820,2200,35,Guatemala,0
90,Self-emp-not-inc,Doctorate,1,Married-civ-spouse,Protective-serv,Other-relative,Black,Male,3103,1816,69,Guatemala,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Female,3820,2200,35,China,1
29,State-gov,Doctorate,11,Married-civ-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Male,4386,2462,47,China,1
29,State-gov,Doctorate,13,Divorced,Protective-serv,Husband,Black,Male,3103,1894,69,Japan,1
37,Without-pay,Prof-school,8,Married-AF-spouse,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,3103,1564,51,Japan,1
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Black,Male,3820,2200,35,Peru,1
34,Federal-gov,Doctorate,15,Married-AF-spouse,Protective-serv,Other-relative,White,Female,3820,1828,35,Outlying-US(Guam-USVI-etc),1
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,White,Male,3820,2200,35,Scotland,1
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Asian-Pac-Islander,Female,3820,2200,35,Greece,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Nicaragua,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Sales,Unmarried,Asian-Pac-Islander,Male,3820,2200,35,Vietnam,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Hong,0
