age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_greater_than_50K
34,Never-worked,Masters,15,Married-civ-spouse,Craft-repair,Wife,White,Female,12099,1828,39,Cuba,0
26,Never-worked,Bachelors,9,Widowed,Sales,Wife,Black,Male,4386,2200,42,Jamaica,1
37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Other,Female,4386,1587,42,India,0
90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,White,Male,3820,1816,39,England,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,Other,Female,3820,2200,35,Philippines,0
37,State-gov,Prof-school,15,Married-civ-spouse,Tech-support,Other-relative,Other,Female,4386,1828,6,Italy,0
22,Federal-gov,Doctorate,9,Married-AF-spouse,Protective-serv,Wife,Amer-Indian-Eskimo,Female,0,115,35,Poland,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,White,Female,3820,2200,35,Columbia,0
90,Self-emp-inc,Prof-school,15,Separated,Armed-Forces,Wife,Other,Female,3820,1564,39,Cambodia,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Male,3820,2200,35,Thailand,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,White,Female,3820,2200,35,Laos,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Male,3820,2200,35,Haiti,1
22,Federal-gov,Prof-school,1,Married-spouse-absent,Armed-Forces,Wife,White,Male,4386,1894,39,Portugal,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Dominican-Republic,0
22,Private,7th-8th,11,Married-civ-spouse,Tech-support,Wife,Black,Male,4386,115,42,Dominican-Republic,1
24,Self-emp-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,4386,1816,51,El-Salvador,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,White,Female,3820,2200,35,France,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Black,Male,3820,2200,35,China,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Yugoslavia,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Other,Female,3820,2200,35,Outlying-US(Guam-USVI-etc),0
34,Self-emp-inc,Doctorate,13,Married-AF-spouse,Protective-serv,Wife,White,Male,12099,1816,69,Scotland,1
26,Never-worked,1st-4th,14,Married-civ-spouse,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,12099,1564,42,Scotland,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Female,3820,2200,35,Trinadad&Tobago,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Black,Female,3820,2200,35,Nicaragua,0
90,Local-gov,Preschool,11,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,3820,1828,6,Nicaragua,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Hong,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,White,Male,3820,2200,35,Hungary,1
29,Without-pay,Doctorate,11,Never-married,Tech-support,Wife,Asian-Pac-Islander,Male,0,115,6,United-States,0
