age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_greater_than_50K
24,Federal-gov,Doctorate,14,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,115,42,United-States,1
34,Never-worked,Masters,15,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,12099,1828,39,Cuba,0
26,Without-pay,Doctorate,13,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,12099,1828,1,Cuba,0
90,Self-emp-inc,10th,15,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,12099,1894,1,Jamaica,0
37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Black,Female,4386,1587,42,India,0
26,Self-emp-not-inc,Masters,8,Divorced,Sales,Unmarried,Amer-Indian-Eskimo,Female,3103,1587,1,Honduras,0
22,Self-emp-not-inc,Doctorate,9,Married-civ-spouse,Protective-serv,Wife,Black,Male,3820,1894,39,Honduras,0
22,Self-emp-inc,Some-college,9,Divorced,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,4386,1828,35,Iran,0
22,State-gov,Prof-school,14,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,3103,2462,42,Iran,0
90,Private,Masters,15,Married-AF-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Italy,1
34,Without-pay,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Wife,Other,Female,3820,1816,69,Italy,0
22,Federal-gov,Doctorate,9,Married-AF-spouse,Protective-serv,Wife,Black,Male,0,115,35,Poland,1
29,Federal-gov,Doctorate,14,Married-AF-spouse,Protective-serv,Unmarried,Black,Male,12099,115,6,Columbia,0
37,Local-gov,Doctorate,1,Widowed,Protective-serv,Wife,Other,Female,12099,1828,69,Cambodia,0
29,Local-gov,Doctorate,13,Married-AF-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,3820,115,51,Thailand,0
24,Self-emp-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Not-in-family,Other,Male,4386,1816,51,El-Salvador,0
24,Local-gov,1st-4th,1,Widowed,Exec-managerial,Husband,Black,Female,3820,2200,6,France,0
34,Self-emp-inc,Doctorate,13,Married-AF-spouse,Protective-serv,Wife,Other,Female,12099,1816,69,Scotland,0
26,Never-worked,1st-4th,14,Married-civ-spouse,Exec-managerial,Wife,Other,Male,12099,1564,42,Scotland,0
17,Self-emp-inc,Prof-school,1,Married-spouse-absent,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,3820,2200,42,Nicaragua,0
90,Local-gov,Preschool,11,Married-civ-spouse,Exec-managerial,Husband,Other,Male,3820,1828,6,Nicaragua,1
29,Never-worked,Doctorate,1,Divorced,Protective-serv,Husband,Amer-Indian-Eskimo,Female,3820,1564,51,Hungary,0
90,State-gov,Assoc-voc,13,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,0,115,1,Jamaica,0
29,Never-worked,Some-college,8,Married-AF-spouse,Craft-repair,Wife,White,Male,0,115,69,United-States,0
34,Self-emp-not-inc,Assoc-acdm,11,Married-civ-spouse,Transport-moving,Wife,White,Male,0,115,6,United-States,1
