age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income_greater_than_50K
34,Never-worked,Masters,15,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,12099,1828,39,Cuba,0
26,Never-worked,Bachelors,9,Widowed,Sales,Wife,Asian-Pac-Islander,Female,4386,2200,42,Jamaica,0
37,Private,Prof-school,8,Married-AF-spouse,Prof-specialty,Husband,Black,Female,4386,1587,42,India,1
90,Self-emp-inc,Prof-school,9,Divorced,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,3820,1816,39,England,0
29,Self-emp-inc,Masters,15,Married-AF-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,3820,2200,35,Philippines,1
37,State-gov,Prof-school,15,Married-civ-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Male,4386,1828,6,Italy,1
22,Federal-gov,Doctorate,9,Married-AF-spouse,Protective-serv,Wife,Black,Male,0,115,35,Poland,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Columbia,1
90,Self-emp-inc,Prof-school,15,Separated,Armed-Forces,Wife,Asian-Pac-Islander,Male,3820,1564,39,Cambodia,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Thailand,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Laos,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Haiti,0
22,Federal-gov,Prof-school,1,Married-spouse-absent,Armed-Forces,Wife,Asian-Pac-Islander,Female,4386,1894,39,Portugal,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Dominican-Republic,1
22,Private,7th-8th,11,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Male,4386,115,42,Dominican-Republic,0
24,Self-emp-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Not-in-family,Other,Male,4386,1816,51,El-Salvador,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,France,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,China,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Yugoslavia,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Outlying-US(Guam-USVI-etc),1
34,Self-emp-inc,Doctorate,13,Married-AF-spouse,Protective-serv,Wife,Other,Female,12099,1816,69,Scotland,0
26,Never-worked,1st-4th,14,Married-civ-spouse,Exec-managerial,Wife,Other,Male,12099,1564,42,Scotland,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Trinadad&Tobago,1
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Male,3820,2200,35,Nicaragua,1
90,Local-gov,Preschool,11,Married-civ-spouse,Exec-managerial,Husband,Other,Male,3820,1828,6,Nicaragua,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Hong,0
90,Private,Masters,15,Married-AF-spouse,Sales,Wife,Amer-Indian-Eskimo,Female,3820,2200,35,Hungary,0
29,Without-pay,Doctorate,11,Never-married,Tech-support,Wife,White,Female,0,115,6,United-States,0
