Perturb_ModelPred,Perturb_PredValue,Expected_ModelPred,Expected_PredValue,checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex,TC
[0.9098409414291382],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,67,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.45150530338287354],0,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,67,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744208455085754],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,22,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7727086544036865],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,22,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.951698362827301],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,49,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6164473295211792],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,49,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9580920338630676],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,45,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6509418487548828],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,45,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9443857669830322],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,53,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5807395577430725],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,53,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.970721423625946],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,35,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7300540804862976],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,35,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9265404939651489],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,61,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5071091055870056],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,61,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744033813476562],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,28,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7725854516029358],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,28,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744120836257935],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,25,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7726470232009888],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,25,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744150638580322],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,24,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.772667646408081],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,24,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9290307760238647],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,60,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.5163964033126831],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,60,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9737297296524048],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,32,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7514594197273254],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,32,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9595593810081482],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,44,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6593397855758667],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,44,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9743945598602295],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,31,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7583367824554443],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,31,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9533785581588745],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,48,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6251972317695618],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,48,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9744092226028442],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,26,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.772626519203186],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,26,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9696462750434875],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,36,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.7226661443710327],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,36,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9661865234375],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,39,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6997717618942261],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,39,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.9623476266860962],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,42,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
[0.6758349537849426],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,42,A141,A153,2,A172,2,A191,A202,female,PerturbTC0
[0.971759557723999],1,[0.7727291584014893],1,A12,4,A32,A43,2286,A61,A73,2,A103,2,A122,34,A141,A153,2,A172,2,A191,A202,male,PerturbTC0
