Perturb_ModelPred,Perturb_PredValue,Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,TC
[0.09713059663772583],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,115,32,United-States,OrigionalTC0
[0.13139954209327698],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,115,32,United-States,PerturbTC0
[0.07995682954788208],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,115,32,United-States,PerturbTC0
[0.06876090168952942],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,115,32,United-States,PerturbTC0
[0.040692299604415894],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,115,32,United-States,PerturbTC0
[0.06469094753265381],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,115,32,United-States,PerturbTC0
[0.038215458393096924],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,115,32,United-States,PerturbTC0
[0.11731886863708496],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,115,32,United-States,PerturbTC0
[0.07093849778175354],0,[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,115,32,United-States,PerturbTC0
[0.025980472564697266],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Black,Male,0,115,35,United-States,PerturbTC1
[0.015092134475708008],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Black,Female,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,115,35,United-States,OrigionalTC1
[0.021092981100082397],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,115,35,United-States,PerturbTC1
[0.017978370189666748],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Male,0,115,35,United-States,PerturbTC1
[0.010407865047454834],0,[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,0,115,35,United-States,PerturbTC1
