Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,115,32,United-States
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,115,35,United-States
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,115,40,United-States
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Male,0,115,42,United-States
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Female,0,115,44,United-States
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Black,Male,0,115,50,United-States
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,0,115,65,United-States
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,115,31,United-States
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,115,35,United-States
[0.04483044147491455],0,24,Local-gov,Assoc-voc,14,Widowed,Craft-repair,Husband,Other,Female,0,115,40,United-States
[0.6276859641075134],1,27,Self-emp-inc,Prof-school,15,Never-married,Protective-serv,Wife,White,Male,0,115,42,United-States
[0.03820684552192688],0,28,Without-pay,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,0,115,44,United-States
[0.006407409906387329],0,30,State-gov,10th,4,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,0,115,50,United-States
[0.18421894311904907],0,37,Private,Preschool,11,Separated,Adm-clerical,Other-relative,Other,Female,0,115,65,United-States
[0.45743778347969055],0,89,Federal-gov,12th,14,Divorced,Exec-managerial,Not-in-family,Other,Male,0,115,31,United-States
[0.008608728647232056],0,17,Local-gov,1st-4th,15,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Female,0,115,32,United-States
[0.9873895645141602],1,24,Without-pay,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,3820,1564,42,Cuba
[0.936269998550415],1,27,State-gov,HS-grad,4,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,3103,1587,44,Cuba
[0.9996626377105713],1,28,Self-emp-not-inc,11th,9,Never-married,Sales,Wife,Other,Female,4386,1816,50,Cuba
[1.0],1,30,Federal-gov,Masters,15,Married-civ-spouse,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,12099,1828,65,Cuba
[0.9933936595916748],1,37,Local-gov,9th,11,Divorced,Farming-fishing,Husband,Black,Male,3103,1894,31,Cuba
[1.0],1,89,Self-emp-inc,Some-college,13,Married-spouse-absent,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,12099,2008,32,Cuba
[0.9994567632675171],1,17,Private,Assoc-acdm,14,Separated,Tech-support,Own-child,Black,Male,4386,2507,40,Cuba
[0.9976664781570435],1,22,Self-emp-inc,7th-8th,11,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,4386,1564,35,Cuba
[0.999814510345459],1,24,Self-emp-not-inc,Doctorate,11,Married-civ-spouse,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,3820,1587,50,Cuba
[1.0],1,27,Private,Assoc-voc,13,Divorced,Armed-Forces,Other-relative,Black,Male,12099,1816,65,Cuba
[0.9495817422866821],1,28,Private,Prof-school,1,Widowed,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,3820,1828,31,Cuba
[0.893059492111206],1,30,Without-pay,5th-6th,9,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,3103,1894,32,Cuba
[0.9997521638870239],1,37,State-gov,10th,14,Married-spouse-absent,Exec-managerial,Own-child,Other,Male,3820,2008,35,Cuba
[1.0],1,89,Self-emp-not-inc,Preschool,4,Widowed,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,12099,2507,42,Cuba
[0.999168872833252],1,17,Self-emp-inc,12th,9,Separated,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,3820,1587,65,Cuba
[0.9123895168304443],1,22,Without-pay,1st-4th,1,Married-spouse-absent,Other-service,Wife,Black,Male,3103,1816,40,Cuba
[0.9979338645935059],1,27,Local-gov,Bachelors,4,Separated,Sales,Wife,Asian-Pac-Islander,Male,3820,1828,35,Jamaica
[0.9938713312149048],1,28,Self-emp-inc,HS-grad,13,Married-AF-spouse,Transport-moving,Other-relative,Other,Female,3103,1894,40,Jamaica
[0.9999747276306152],1,30,Private,11th,15,Married-civ-spouse,Farming-fishing,Husband,Black,Male,4386,2008,42,Jamaica
[0.9639679193496704],1,37,Federal-gov,Masters,1,Never-married,Machine-op-inspct,Unmarried,Black,Female,3820,2507,44,Jamaica
[1.0],1,89,State-gov,9th,9,Married-civ-spouse,Tech-support,Wife,Other,Female,12099,1564,50,Jamaica
[1.0],1,17,State-gov,Some-college,11,Married-AF-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Male,12099,1816,31,Jamaica
[0.997968316078186],1,22,Without-pay,Assoc-acdm,14,Divorced,Protective-serv,Unmarried,Other,Male,4386,1828,32,Jamaica
[0.9997735023498535],1,24,Self-emp-not-inc,7th-8th,15,Married-spouse-absent,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,3103,1894,65,Jamaica
[0.9994057416915894],1,27,Local-gov,Doctorate,9,Separated,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,4386,2008,44,Jamaica
[1.0],1,28,Federal-gov,Assoc-voc,15,Divorced,Adm-clerical,Wife,Black,Male,12099,1587,35,Jamaica
[0.9999116659164429],1,30,Local-gov,Prof-school,13,Married-civ-spouse,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,3103,2507,40,Jamaica
[1.0],1,37,Self-emp-not-inc,5th-6th,13,Never-married,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,12099,1564,40,Jamaica
[0.9992002248764038],1,89,Private,10th,15,Separated,Prof-specialty,Unmarried,Other,Male,3103,1816,44,Jamaica
[0.9789074659347534],1,17,Federal-gov,Preschool,9,Married-AF-spouse,Other-service,Husband,Black,Female,3103,1828,50,Jamaica
[0.9997268915176392],1,22,State-gov,12th,15,Widowed,Sales,Other-relative,Black,Female,4386,1894,42,Jamaica
[0.9691730737686157],1,24,Self-emp-inc,1st-4th,4,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Female,4386,2008,31,Jamaica
[1.0],1,28,State-gov,Bachelors,11,Married-spouse-absent,Farming-fishing,Not-in-family,Other,Female,12099,2507,32,India
[0.9977418184280396],1,30,Local-gov,HS-grad,14,Separated,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,3103,1564,65,India
[0.9973622560501099],1,37,Without-pay,11th,4,Married-AF-spouse,Tech-support,Unmarried,Asian-Pac-Islander,Male,4386,1587,31,India
[0.9550653100013733],1,89,Self-emp-not-inc,Masters,1,Divorced,Craft-repair,Other-relative,Black,Female,3820,1894,35,India
[0.9976255893707275],1,17,Federal-gov,9th,4,Widowed,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,4386,2008,40,India
[0.9881192445755005],1,22,Self-emp-inc,Some-college,9,Never-married,Armed-Forces,Own-child,Amer-Indian-Eskimo,Female,3820,2507,50,India
[1.0],1,24,Federal-gov,Assoc-acdm,13,Married-civ-spouse,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,12099,1816,42,India
[1.0],1,27,Self-emp-not-inc,7th-8th,14,Married-AF-spouse,Adm-clerical,Wife,Other,Male,12099,1828,44,India
[0.9998183250427246],1,28,Private,Doctorate,4,Married-spouse-absent,Exec-managerial,Husband,Other,Male,4386,1564,65,India
[0.9929652214050293],1,30,Without-pay,Assoc-voc,11,Separated,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Male,3820,1587,31,India
[0.9999335408210754],1,37,State-gov,Prof-school,14,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Female,3820,1816,32,India
[0.9980626106262207],1,89,Self-emp-inc,5th-6th,11,Never-married,Other-service,Other-relative,Black,Female,4386,1828,35,India
[1.0],1,17,Federal-gov,10th,1,Married-civ-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,12099,1564,32,India
[0.8539453744888306],1,22,Local-gov,Preschool,1,Married-spouse-absent,Transport-moving,Own-child,Other,Female,3820,1587,44,India
[0.9969006776809692],1,24,State-gov,12th,13,Separated,Farming-fishing,Own-child,Asian-Pac-Islander,Male,3820,1828,40,India
[1.0],1,27,Private,1st-4th,14,Married-civ-spouse,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,12099,1894,50,India
[0.9917621612548828],1,30,Self-emp-inc,Bachelors,1,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Female,3103,1816,65,Mexico
[1.0],1,37,Without-pay,HS-grad,9,Married-spouse-absent,Craft-repair,Other-relative,Black,Male,12099,1828,42,Mexico
[0.9994735717773438],1,89,Local-gov,11th,13,Married-AF-spouse,Protective-serv,Not-in-family,Other,Male,3103,2507,35,Mexico
[0.9999134540557861],1,17,Without-pay,Masters,11,Divorced,Armed-Forces,Wife,Asian-Pac-Islander,Male,4386,2008,50,Mexico
[0.9892993569374084],1,22,Private,9th,15,Never-married,Priv-house-serv,Own-child,Black,Male,3820,1587,32,Mexico
[0.9876718521118164],1,24,Self-emp-not-inc,Some-college,4,Divorced,Adm-clerical,Unmarried,Other,Male,4386,1564,44,Mexico
[1.0],1,27,Federal-gov,Assoc-acdm,15,Separated,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,12099,1894,31,Mexico
[0.9390734434127808],1,28,State-gov,7th-8th,1,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Male,3103,2008,40,Mexico
[0.9999382495880127],1,30,Self-emp-not-inc,Doctorate,13,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,4386,2507,31,Mexico
[0.9990397691726685],1,37,Self-emp-inc,Assoc-voc,14,Married-civ-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,3103,1564,32,Mexico
[0.9992997050285339],1,89,Without-pay,Prof-school,13,Divorced,Sales,Husband,Other,Male,3103,1587,40,Mexico
[0.9986491799354553],1,17,Private,5th-6th,14,Divorced,Transport-moving,Wife,Other,Female,3820,1816,42,Mexico
[0.9998853206634521],1,22,Without-pay,10th,9,Married-AF-spouse,Farming-fishing,Wife,Black,Male,4386,1587,65,Mexico
[0.9977896213531494],1,24,Without-pay,Preschool,4,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,4386,1816,35,Mexico
[1.0],1,27,Self-emp-not-inc,12th,11,Married-spouse-absent,Tech-support,Unmarried,Asian-Pac-Islander,Male,12099,2008,32,Mexico
[0.999910831451416],1,28,Federal-gov,1st-4th,15,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,3820,2507,65,Mexico
[1.0],1,37,Private,Bachelors,9,Widowed,Protective-serv,Own-child,Black,Female,12099,1894,44,Puerto-Rico
[0.9993691444396973],1,89,Federal-gov,HS-grad,11,Married-AF-spouse,Armed-Forces,Husband,Other,Male,3820,2008,31,Puerto-Rico
[0.9500035047531128],1,17,Self-emp-inc,11th,14,Never-married,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,3103,1564,35,Puerto-Rico
[0.9836674332618713],1,22,Local-gov,Masters,1,Married-spouse-absent,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,4386,1816,40,Puerto-Rico
[0.9895305633544922],1,24,Without-pay,9th,11,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,3103,1828,42,Puerto-Rico
[0.9856212139129639],1,27,Federal-gov,Some-college,4,Married-civ-spouse,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,3103,1894,65,Puerto-Rico
[1.0],1,28,Local-gov,Assoc-acdm,13,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,12099,2008,50,Puerto-Rico
[0.9987244606018066],1,30,Self-emp-not-inc,7th-8th,15,Divorced,Other-service,Husband,Other,Female,3820,2507,32,Puerto-Rico
[0.9951934218406677],1,37,State-gov,Doctorate,14,Never-married,Sales,Unmarried,Black,Female,3103,1587,42,Puerto-Rico
[0.9999455213546753],1,89,State-gov,Assoc-voc,9,Married-spouse-absent,Transport-moving,Wife,Asian-Pac-Islander,Female,4386,2507,44,Puerto-Rico
[1.0],1,17,Self-emp-not-inc,Prof-school,4,Separated,Farming-fishing,Unmarried,Black,Male,12099,1564,44,Puerto-Rico
[1.0],1,22,State-gov,5th-6th,15,Married-AF-spouse,Machine-op-inspct,Other-relative,Other,Female,12099,1587,31,Puerto-Rico
[0.9966983795166016],1,24,Local-gov,10th,11,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,3820,1828,42,Puerto-Rico
[0.9899794459342957],1,27,Self-emp-inc,Preschool,13,Never-married,Craft-repair,Wife,Black,Female,3103,2008,32,Puerto-Rico
[0.909370481967926],1,28,Private,12th,1,Married-AF-spouse,Protective-serv,Husband,Asian-Pac-Islander,Female,3103,1564,31,Puerto-Rico
[0.9357022047042847],1,30,State-gov,1st-4th,4,Widowed,Armed-Forces,Husband,Amer-Indian-Eskimo,Male,3103,1828,35,Puerto-Rico
[0.9996813535690308],1,89,Self-emp-not-inc,Bachelors,15,Married-spouse-absent,Priv-house-serv,Unmarried,Other,Female,4386,1894,40,Honduras
[0.9862467050552368],1,17,Self-emp-inc,HS-grad,1,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Male,3820,2507,50,Honduras
[1.0],1,22,State-gov,11th,9,Widowed,Exec-managerial,Other-relative,Black,Male,12099,1816,44,Honduras
[0.9832251071929932],1,24,Private,Masters,14,Married-AF-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,3103,1828,32,Honduras
[0.9828193783760071],1,27,Without-pay,9th,1,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,4386,2507,35,Honduras
[1.0],1,28,Local-gov,Some-college,14,Married-civ-spouse,Other-service,Own-child,Asian-Pac-Islander,Male,12099,1587,42,Honduras
[0.9998464584350586],1,30,Self-emp-inc,Assoc-acdm,11,Married-spouse-absent,Sales,Own-child,Amer-Indian-Eskimo,Male,3820,2008,65,Honduras
[0.9998494386672974],1,37,Federal-gov,7th-8th,13,Separated,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,4386,1564,50,Honduras
[1.0],1,89,Self-emp-inc,Doctorate,4,Widowed,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,12099,1816,50,Honduras
[0.9964851140975952],1,17,Self-emp-not-inc,Assoc-voc,11,Divorced,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,3820,1894,42,Honduras
[0.9996669292449951],1,22,Federal-gov,Prof-school,11,Married-spouse-absent,Tech-support,Other-relative,Asian-Pac-Islander,Female,4386,1894,44,Honduras
[0.9971574544906616],1,24,Local-gov,5th-6th,4,Married-spouse-absent,Craft-repair,Unmarried,Asian-Pac-Islander,Female,4386,2507,50,Honduras
[0.9940477609634399],1,27,Self-emp-inc,10th,13,Widowed,Protective-serv,Husband,Other,Male,3103,1564,31,Honduras
[0.9983842968940735],1,28,Local-gov,Preschool,15,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,3820,1564,40,Honduras
[0.9999681711196899],1,37,Without-pay,12th,4,Married-AF-spouse,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,4386,2507,65,Honduras
[0.9997166991233826],1,89,State-gov,1st-4th,13,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,3103,1587,42,Honduras
[0.998166561126709],1,17,Federal-gov,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,Black,Female,4386,1816,50,England
[0.9999129772186279],1,22,Self-emp-not-inc,HS-grad,15,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,3820,1828,32,England
[0.9432555437088013],1,24,Private,11th,1,Divorced,Other-service,Own-child,Other,Female,3103,1894,65,England
[1.0],1,27,Self-emp-inc,Masters,9,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Female,12099,1587,31,England
[1.0],1,28,Self-emp-not-inc,9th,11,Married-spouse-absent,Transport-moving,Husband,Black,Male,12099,2008,35,England
[0.9957214593887329],1,30,Private,Some-college,14,Separated,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,3103,1828,40,England
[0.9967343807220459],1,37,Local-gov,Assoc-acdm,4,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,3103,1564,44,England
[0.9999015927314758],1,89,Without-pay,7th-8th,15,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Female,4386,1816,42,England
[0.9994071125984192],1,30,Private,Doctorate,1,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,3820,1894,44,England
[0.9863490462303162],1,22,State-gov,Assoc-voc,1,Separated,Protective-serv,Unmarried,Black,Male,3820,2008,50,England
[1.0],1,24,Self-emp-inc,Prof-school,9,Married-AF-spouse,Armed-Forces,Own-child,Black,Female,12099,2507,35,England
[0.9999912977218628],1,27,Federal-gov,5th-6th,11,Widowed,Priv-house-serv,Wife,Asian-Pac-Islander,Male,4386,2008,65,England
[0.9982645511627197],1,28,Self-emp-not-inc,10th,14,Married-civ-spouse,Adm-clerical,Other-relative,Black,Female,3103,1894,31,England
[0.9999645948410034],1,30,Self-emp-inc,Preschool,14,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,3820,1587,50,England
[0.9983758926391602],1,22,Local-gov,12th,13,Never-married,Handlers-cleaners,Other-relative,Asian-Pac-Islander,Male,4386,1816,44,England
[0.9994758367538452],1,37,Self-emp-not-inc,1st-4th,9,Divorced,Prof-specialty,Other-relative,Black,Male,3820,1894,44,England
[0.997931182384491],1,17,Private,Bachelors,14,Divorced,Other-service,Not-in-family,Black,Female,4386,2008,31,Canada
[0.9980473518371582],1,24,Without-pay,HS-grad,9,Separated,Sales,Husband,Asian-Pac-Islander,Male,3820,2507,32,Canada
[0.9995508193969727],1,27,State-gov,11th,15,Married-AF-spouse,Transport-moving,Wife,Other,Female,3820,1828,32,Canada
[0.8727651834487915],1,28,Federal-gov,Masters,4,Widowed,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,3103,1564,35,Canada
[1.0],1,30,Local-gov,9th,13,Never-married,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Female,12099,1816,40,Canada
[0.019018620252609253],0,37,Self-emp-inc,Some-college,1,Married-spouse-absent,Tech-support,Husband,Black,Female,0,115,42,Canada
[1.0],1,89,Self-emp-not-inc,Assoc-acdm,9,Married-civ-spouse,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,12099,1587,65,Canada
[0.9976377487182617],1,22,Private,7th-8th,11,Married-spouse-absent,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,3820,1816,50,Canada
[0.9992831945419312],1,17,Without-pay,Doctorate,14,Separated,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,4386,1828,32,Canada
[0.9189611673355103],1,17,Local-gov,Assoc-voc,4,Married-AF-spouse,Priv-house-serv,Own-child,Black,Male,3103,1894,44,Canada
[0.9999697208404541],1,89,Private,Prof-school,11,Widowed,Adm-clerical,Other-relative,Other,Female,4386,2008,65,Canada
[0.9902178049087524],1,17,Local-gov,5th-6th,1,Never-married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,3820,1828,65,Canada
[1.0],1,22,Self-emp-inc,10th,9,Married-spouse-absent,Handlers-cleaners,Wife,Other,Male,12099,2507,40,Canada
[0.9917717576026917],1,24,State-gov,Preschool,4,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,4386,1894,31,Canada
[1.0],1,30,Federal-gov,12th,11,Married-civ-spouse,Other-service,Unmarried,Other,Female,12099,1587,35,Canada
[0.9995241165161133],1,30,Private,1st-4th,11,Divorced,Sales,Own-child,Other,Male,4386,1564,42,Canada
[0.9998791217803955],1,37,Federal-gov,Bachelors,15,Divorced,Transport-moving,Not-in-family,Black,Female,4386,1587,40,Germany
[0.9730963706970215],1,27,Local-gov,HS-grad,1,Never-married,Farming-fishing,Wife,Asian-Pac-Islander,Male,3820,1816,42,Germany
[0.958588719367981],1,28,Without-pay,11th,9,Separated,Machine-op-inspct,Husband,Other,Male,3103,1828,35,Germany
[1.0],1,89,State-gov,Masters,13,Married-AF-spouse,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,12099,115,50,Germany
[0.9993381500244141],1,24,Private,9th,14,Widowed,Craft-repair,Own-child,Asian-Pac-Islander,Male,3103,1564,65,Germany
[1.0],1,30,Self-emp-inc,Some-college,4,Married-civ-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,12099,2008,31,Germany
[0.9937586784362793],1,37,Self-emp-not-inc,Assoc-acdm,11,Married-spouse-absent,Armed-Forces,Other-relative,Black,Male,3103,2507,32,Germany
[0.9287521839141846],1,17,Local-gov,7th-8th,4,Never-married,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,4386,1587,44,Germany
