Expected_ModelPred,Expected_PredValue,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,TC
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,115,32,United-States,OrigionalTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Other,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,Other,Female,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,115,32,United-States,PerturbTC0
[0.058205097913742065],0,22,Self-emp-not-inc,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,115,32,United-States,PerturbTC0
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Black,Male,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Black,Female,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,115,35,United-States,OrigionalTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Male,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Other,Male,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Other,Female,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,White,Male,0,115,35,United-States,PerturbTC1
[0.03615185618400574],0,24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,White,Female,0,115,35,United-States,PerturbTC1
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Black,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Black,Female,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,115,40,United-States,OrigionalTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Other,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Other,Female,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,White,Male,0,115,40,United-States,PerturbTC2
[0.07014995813369751],0,27,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,White,Female,0,115,40,United-States,PerturbTC2
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Black,Male,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Black,Female,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Male,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Male,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Female,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Male,0,115,42,United-States,OrigionalTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Female,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,White,Male,0,115,42,United-States,PerturbTC3
[0.032311856746673584],0,28,Local-gov,Masters,13,Separated,Other-service,Unmarried,White,Female,0,115,42,United-States,PerturbTC3
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Black,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Black,Female,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Amer-Indian-Eskimo,Female,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Other,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,Other,Female,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Male,0,115,44,United-States,PerturbTC4
[0.39894720911979675],0,30,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Female,0,115,44,United-States,OrigionalTC4
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Black,Male,0,115,50,United-States,OrigionalTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Black,Female,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Female,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Other,Male,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,Other,Female,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,White,Male,0,115,50,United-States,PerturbTC5
[0.5794934630393982],1,37,Without-pay,Some-college,15,Widowed,Transport-moving,Not-in-family,White,Female,0,115,50,United-States,PerturbTC5
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Black,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Black,Female,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,0,115,65,United-States,OrigionalTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Other,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,Other,Female,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,White,Male,0,115,65,United-States,PerturbTC6
[0.024758249521255493],0,89,State-gov,Assoc-acdm,1,Never-married,Farming-fishing,Husband,White,Female,0,115,65,United-States,PerturbTC6
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Male,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Black,Female,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Female,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Male,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,Other,Female,0,115,31,United-States,PerturbTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,115,31,United-States,OrigionalTC7
[0.005182504653930664],0,17,Self-emp-not-inc,7th-8th,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Female,0,115,31,United-States,PerturbTC7
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Black,Male,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Black,Female,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0,115,35,United-States,PerturbTC8
[0.19828307628631592],0,22,Federal-gov,Doctorate,13,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,115,35,United-States,PerturbTC8
