Expected_ModelPred,Expected_PredValue,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,TC
[0.7183248996734619],1,Male,18,25 - 45,Other,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,Other,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Male,18,25 - 45,African-American,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,African-American,0,0,0,1,M,OrigionalTC0
[0.7183248996734619],1,Male,18,25 - 45,Caucasian,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,Caucasian,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Male,18,25 - 45,Hispanic,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,Hispanic,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Male,18,25 - 45,Native American,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,Native American,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Male,18,25 - 45,Asian,0,0,0,1,M,PerturbTC0
[0.7183248996734619],1,Female,18,25 - 45,Asian,0,0,0,1,M,PerturbTC0
[0.8613516688346863],1,Male,18,Less than 25,Other,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Female,18,Less than 25,Other,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Male,18,Less than 25,African-American,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Female,18,Less than 25,African-American,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Male,18,Less than 25,Caucasian,1,1,1,2,F,OrigionalTC1
[0.8613516688346863],1,Female,18,Less than 25,Caucasian,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Male,18,Less than 25,Hispanic,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Female,18,Less than 25,Hispanic,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Male,18,Less than 25,Native American,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Female,18,Less than 25,Native American,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Male,18,Less than 25,Asian,1,1,1,2,F,PerturbTC1
[0.8613516688346863],1,Female,18,Less than 25,Asian,1,1,1,2,F,PerturbTC1
[0.8306105732917786],1,Male,18,Greater than 45,Other,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,Other,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Male,18,Greater than 45,African-American,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,African-American,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Male,18,Greater than 45,Caucasian,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,Caucasian,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Male,18,Greater than 45,Hispanic,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,Hispanic,2,2,2,3,F,OrigionalTC2
[0.8306105732917786],1,Male,18,Greater than 45,Native American,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,Native American,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Male,18,Greater than 45,Asian,2,2,2,3,F,PerturbTC2
[0.8306105732917786],1,Female,18,Greater than 45,Asian,2,2,2,3,F,PerturbTC2
[0.9239805936813354],1,Male,18,25 - 45,Other,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Female,18,25 - 45,Other,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Male,18,25 - 45,African-American,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Female,18,25 - 45,African-American,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Male,18,25 - 45,Caucasian,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Female,18,25 - 45,Caucasian,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Male,18,25 - 45,Hispanic,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Female,18,25 - 45,Hispanic,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Male,18,25 - 45,Native American,3,3,3,6,M,OrigionalTC3
[0.9239805936813354],1,Female,18,25 - 45,Native American,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Male,18,25 - 45,Asian,3,3,3,6,M,PerturbTC3
[0.9239805936813354],1,Female,18,25 - 45,Asian,3,3,3,6,M,PerturbTC3
[0.9484278559684753],1,Male,18,Less than 25,Other,4,5,4,8,M,PerturbTC4
[0.9484278559684753],1,Female,18,Less than 25,Other,4,5,4,8,M,PerturbTC4
