# ACTS Test Suite Generation: Tue Jan 25 11:38:13 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 20
# Maximum number of values per parameter: 10
# Number of configurations: 81
checkingstatus,duration,history,purpose,amount,savings,employ,installment,others,residence,property,age,otherplans,housing,cards,job,liable,tele,foreign,sex
A12,0,A32,A43,1,A61,A73,2,A103,2,A122,1,A141,A153,2,A172,2,A191,A202,female
A14,1,A33,A43,2,A63,A74,3,A102,3,A124,2,A142,A151,3,A174,2,A192,A202,male
A13,2,A30,A43,3,A64,A71,4,A101,4,A123,3,A143,A152,4,A171,1,A191,A201,male
A11,3,A31,A43,0,A62,A72,1,A103,1,A121,4,A142,A152,1,A173,2,A192,A202,female
A12,4,A34,A43,2,A65,A75,4,A102,1,A122,5,A141,A153,3,A171,2,A192,A202,male
A11,5,A32,A43,3,A63,A71,1,A102,2,A124,6,A141,A151,4,A173,2,A191,A202,female
A12,6,A33,A43,0,A64,A72,2,A101,3,A123,7,A143,A151,1,A172,1,A192,A201,female
A14,7,A30,A43,1,A62,A75,3,A101,4,A121,0,A143,A153,2,A174,1,A191,A201,female
A13,0,A31,A46,0,A65,A71,3,A103,2,A122,2,A141,A152,1,A174,2,A191,A202,male
A11,1,A34,A46,1,A61,A72,4,A103,3,A124,3,A142,A151,2,A171,2,A192,A202,female
A14,2,A32,A46,0,A63,A75,2,A102,4,A123,4,A142,A153,3,A173,2,A191,A202,male
A13,3,A33,A46,2,A64,A73,1,A101,4,A121,5,A142,A151,4,A172,1,A192,A201,male
A12,4,A30,A46,3,A62,A74,2,A103,1,A124,6,A142,A152,1,A172,2,A191,A202,female
A14,5,A31,A46,1,A61,A74,4,A101,1,A123,7,A143,A153,4,A174,1,A192,A201,male
A13,6,A34,A46,3,A63,A73,3,A102,1,A121,0,A141,A152,3,A171,2,A191,A202,female
A11,7,A33,A46,3,A65,A74,1,A101,3,A122,1,A143,A153,2,A173,1,A192,A201,male
A14,0,A33,A42,2,A62,A75,1,A103,2,A123,3,A141,A152,3,A171,2,A191,A202,female
A13,1,A30,A42,0,A65,A73,2,A101,3,A124,4,A143,A151,4,A173,1,A192,A201,male
A12,2,A31,A42,1,A61,A71,3,A102,4,A121,5,A141,A152,1,A172,2,A192,A202,female
A14,3,A34,A42,3,A64,A74,4,A102,2,A122,6,A142,A153,2,A174,2,A192,A202,male
A13,4,A32,A42,2,A63,A72,3,A103,4,A122,7,A141,A152,2,A173,2,A191,A202,male
A11,5,A33,A42,2,A64,A75,2,A103,1,A124,0,A142,A151,1,A172,2,A192,A202,male
A14,6,A30,A42,2,A62,A71,4,A102,2,A121,1,A142,A153,3,A172,2,A192,A202,male
A12,7,A34,A42,0,A61,A72,1,A101,4,A123,2,A143,A153,4,A173,2,A191,A201,female
A11,0,A34,A40,1,A64,A74,3,A101,4,A121,4,A141,A151,3,A173,1,A192,A201,female
A14,1,A32,A40,3,A62,A73,4,A103,3,A123,5,A141,A152,1,A174,2,A191,A202,male
A13,2,A33,A40,1,A65,A72,1,A102,2,A122,6,A142,A151,2,A174,2,A192,A202,female
A11,3,A30,A40,3,A61,A75,2,A102,3,A124,7,A141,A153,3,A171,2,A191,A202,female
A12,4,A31,A40,0,A63,A71,4,A101,3,A123,0,A143,A151,2,A171,1,A192,A201,female
A13,5,A34,A40,0,A62,A72,3,A103,1,A122,1,A142,A152,4,A172,2,A192,A202,female
A11,6,A32,A40,1,A65,A75,1,A101,1,A121,2,A143,A152,2,A174,1,A192,A201,male
A12,7,A31,A40,2,A63,A73,2,A102,1,A124,3,A142,A153,1,A172,2,A192,A202,female
A14,0,A30,A41,3,A63,A72,4,A101,2,A124,5,A143,A151,4,A173,1,A191,A201,female
A13,1,A31,A41,0,A64,A75,1,A103,4,A121,6,A141,A153,3,A171,2,A192,A202,male
A11,2,A34,A41,2,A62,A73,2,A102,3,A121,7,A142,A152,1,A174,2,A192,A202,male
A12,3,A32,A41,1,A65,A74,3,A101,2,A123,0,A143,A151,4,A171,2,A191,A201,male
A14,4,A33,A41,2,A61,A71,4,A101,1,A122,1,A143,A151,1,A174,2,A191,A201,female
A12,5,A30,A41,3,A64,A73,1,A101,3,A122,2,A142,A152,2,A171,2,A191,A201,female
