# ACTS Test Suite Generation: Tue Jan 25 16:13:54 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 41
# Number of configurations: 676
age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
1,Self-emp-not-inc,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,1,United-States
2,Private,HS-grad,2,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,0,2,United-States
3,Federal-gov,11th,3,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,0,3,United-States
4,Local-gov,Masters,4,Separated,Other-service,Unmarried,Other,Male,0,0,4,United-States
5,Self-emp-inc,9th,5,Married-AF-spouse,Sales,Other-relative,White,Female,0,0,5,United-States
6,Without-pay,Some-college,6,Widowed,Transport-moving,Not-in-family,Black,Male,0,0,6,United-States
7,State-gov,Assoc-acdm,0,Never-married,Farming-fishing,Husband,Asian-Pac-Islander,Female,0,0,7,United-States
0,Self-emp-not-inc,7th-8th,2,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,0,0,0,United-States
1,Federal-gov,Doctorate,4,Married-AF-spouse,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,2,United-States
2,Local-gov,Assoc-voc,5,Widowed,Craft-repair,Husband,Other,Female,0,0,3,United-States
3,Self-emp-inc,Prof-school,6,Never-married,Protective-serv,Wife,White,Male,0,0,4,United-States
4,Without-pay,5th-6th,0,Married-civ-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,0,0,5,United-States
5,State-gov,10th,1,Divorced,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,0,0,6,United-States
6,Private,Preschool,3,Separated,Adm-clerical,Other-relative,Other,Female,0,0,7,United-States
7,Federal-gov,12th,5,Divorced,Exec-managerial,Not-in-family,Other,Male,0,0,0,United-States
0,Local-gov,1st-4th,6,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Female,0,0,1,United-States
2,Without-pay,Bachelors,0,Married-AF-spouse,Prof-specialty,Other-relative,Black,Male,1,1,4,Cuba
3,State-gov,HS-grad,1,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,2,2,5,Cuba
4,Self-emp-not-inc,11th,2,Never-married,Sales,Wife,Other,Female,3,3,6,Cuba
5,Federal-gov,Masters,6,Married-civ-spouse,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,4,4,7,Cuba
6,Local-gov,9th,3,Divorced,Farming-fishing,Husband,Black,Male,2,5,0,Cuba
7,Self-emp-inc,Some-college,4,Married-spouse-absent,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,4,6,1,Cuba
0,Private,Assoc-acdm,5,Separated,Tech-support,Own-child,Black,Male,3,7,3,Cuba
1,Self-emp-inc,7th-8th,3,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,3,1,2,Cuba
2,Self-emp-not-inc,Doctorate,3,Married-civ-spouse,Protective-serv,Other-relative,Amer-Indian-Eskimo,Female,1,2,6,Cuba
3,Private,Assoc-voc,4,Divorced,Armed-Forces,Other-relative,Black,Male,4,3,7,Cuba
4,Private,Prof-school,0,Widowed,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Female,1,4,0,Cuba
