# ACTS Test Suite Generation: Tue Jan 25 14:29:46 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 13
# Maximum number of values per parameter: 41
# Number of configurations: 676
age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
1,Self-emp-not-inc,Bachelors,1,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,0,1,United-States
2,Private,HS-grad,2,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,0,2,United-States
3,Federal-gov,11th,3,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,0,3,United-States
4,Local-gov,Masters,4,Separated,Other-service,Unmarried,Other,Male,0,0,4,United-States
5,Self-emp-inc,9th,5,Married-AF-spouse,Sales,Other-relative,White,Female,0,0,5,United-States
6,Without-pay,Some-college,6,Widowed,Craft-repair,Not-in-family,Black,Male,0,0,6,United-States
7,Never-worked,Assoc-acdm,0,Never-married,Transport-moving,Husband,Asian-Pac-Islander,Female,0,0,7,United-States
0,State-gov,Assoc-voc,1,Divorced,Farming-fishing,Own-child,Other,Male,0,0,0,United-States
1,Private,7th-8th,4,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,3,United-States
2,Federal-gov,Doctorate,5,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,0,4,United-States
3,Local-gov,Prof-school,6,Never-married,Protective-serv,Wife,Other,Female,0,0,5,United-States
4,Self-emp-inc,5th-6th,0,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,0,6,United-States
5,Without-pay,10th,2,Married-spouse-absent,Priv-house-serv,Unmarried,Black,Female,0,0,7,United-States
6,Never-worked,1st-4th,3,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,0,United-States
7,State-gov,Preschool,4,Widowed,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,0,0,2,United-States
0,Self-emp-not-inc,12th,5,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,3,United-States
2,Local-gov,Bachelors,0,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,1,1,6,Cuba
3,Self-emp-inc,HS-grad,1,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,2,2,1,Cuba
4,Without-pay,11th,3,Never-married,Sales,Husband,Black,Male,3,3,2,Cuba
5,Never-worked,Masters,6,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,4,4,3,Cuba
6,State-gov,9th,2,Married-spouse-absent,Transport-moving,Own-child,Other,Male,2,5,4,Cuba
7,Self-emp-not-inc,Some-college,3,Separated,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,1,6,5,Cuba
0,Federal-gov,Assoc-acdm,4,Divorced,Machine-op-inspct,Wife,Black,Female,2,7,7,Cuba
1,Private,Assoc-voc,5,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,Female,3,1,0,Cuba
2,Self-emp-inc,7th-8th,6,Separated,Protective-serv,Own-child,Black,Male,4,3,7,Cuba
3,Without-pay,Doctorate,4,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,4,4,0,Cuba
4,Never-worked,Prof-school,5,Divorced,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,1,5,1,Cuba
