# ACTS Test Suite Generation: Tue Jan 25 12:46:05 EST 2022
#  '*' represents don't care value 
# Degree of interaction coverage: 2
# Number of parameters: 9
# Maximum number of values per parameter: 8
# Number of configurations: 64
sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree
Female,0,25 - 45,African-American,0,0,0,1,M
Male,0,Less than 25,Caucasian,1,1,1,2,F
Female,0,Greater than 45,Hispanic,2,2,2,3,F
Male,0,25 - 45,Native American,3,3,3,4,M
Female,0,Less than 25,Asian,4,4,4,5,M
Male,0,Greater than 45,Other,5,1,5,6,M
Male,0,25 - 45,African-American,1,2,6,0,F
Female,0,Less than 25,Caucasian,2,3,7,1,F
Male,1,Greater than 45,Hispanic,0,0,0,2,F
Female,1,25 - 45,Native American,4,4,1,3,M
Female,1,Less than 25,Asian,5,1,2,4,F
Female,1,Greater than 45,Other,1,2,3,5,F
Female,1,Greater than 45,African-American,3,3,4,6,F
Male,1,Greater than 45,Caucasian,4,4,5,0,F
Male,1,25 - 45,Hispanic,5,4,6,1,M
Male,1,25 - 45,Native American,2,1,7,2,M
Male,2,Less than 25,Asian,0,0,0,3,M
Female,2,Greater than 45,Other,2,4,1,4,F
Male,2,25 - 45,African-American,3,1,2,5,M
Female,2,Less than 25,Caucasian,4,2,3,6,M
Female,2,Less than 25,Hispanic,5,3,4,0,M
Female,2,Greater than 45,Native American,1,2,5,1,F
Female,2,Less than 25,Asian,3,3,6,2,M
Male,2,25 - 45,Other,3,4,7,3,M
Male,3,25 - 45,Caucasian,0,0,0,4,M
Female,3,Less than 25,Hispanic,5,2,1,5,F
Female,3,Greater than 45,Native American,1,4,2,6,M
Male,3,25 - 45,Asian,2,1,3,0,M
Male,3,Less than 25,Other,4,3,4,1,F
Female,3,Less than 25,African-American,5,4,5,2,M
Male,3,Greater than 45,Caucasian,3,1,6,3,F
Male,3,Greater than 45,Hispanic,4,2,7,4,M
Male,4,Less than 25,Native American,0,0,0,5,F
Female,4,25 - 45,Asian,1,3,1,6,M
Female,4,Greater than 45,Other,3,2,2,0,M
Male,4,25 - 45,African-American,2,1,3,1,M
Male,4,25 - 45,Caucasian,4,2,4,2,F
Male,4,25 - 45,Hispanic,5,3,5,3,F
Male,4,Less than 25,Native American,1,4,6,4,M
Male,4,Greater than 45,Asian,2,3,7,5,F
Male,5,Less than 25,Other,0,0,0,6,F
Female,5,Greater than 45,African-American,3,1,1,0,M
Female,5,25 - 45,Caucasian,4,3,2,1,F
Female,5,Less than 25,Hispanic,5,4,3,2,F
Female,5,Less than 25,Native American,1,1,4,3,F
Male,5,Greater than 45,Asian,2,2,5,4,M
Female,5,Greater than 45,Other,4,1,6,5,M
Female,5,Greater than 45,African-American,5,3,7,6,M
Male,6,Less than 25,Native American,0,0,0,0,F
Female,6,Greater than 45,Asian,3,2,1,1,M
Female,6,25 - 45,Other,1,3,2,2,F
Male,6,25 - 45,African-American,4,4,3,3,M
Female,6,Greater than 45,Caucasian,2,1,4,4,M
Female,6,25 - 45,Hispanic,3,1,5,5,F
Male,6,Less than 25,Hispanic,2,2,6,6,M
Male,6,Greater than 45,Native American,5,3,7,0,F
Male,7,Less than 25,Native American,0,0,0,1,F
Female,7,Greater than 45,Asian,1,2,1,2,M
Male,7,25 - 45,Other,2,3,2,3,F
Male,7,Greater than 45,African-American,3,4,3,4,M
Female,7,Less than 25,Caucasian,5,1,4,5,F
Female,7,Greater than 45,Hispanic,1,2,5,6,M
Female,7,Greater than 45,African-American,4,3,6,0,M
Male,7,Greater than 45,African-American,1,3,7,4,M
