age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country
22,Self-emp-not-inc,Bachelors,8,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,115,6,United-States
24,Private,HS-grad,9,Divorced,Handlers-cleaners,Wife,Asian-Pac-Islander,Male,0,115,35,United-States
26,Federal-gov,11th,11,Married-spouse-absent,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,0,115,39,United-States
29,Local-gov,Masters,13,Separated,Other-service,Unmarried,Other,Male,0,115,42,United-States
34,Self-emp-inc,9th,14,Married-AF-spouse,Sales,Other-relative,White,Female,0,115,47,United-States
37,Without-pay,Some-college,15,Widowed,Craft-repair,Not-in-family,Black,Male,0,115,51,United-States
90,Never-worked,Assoc-acdm,1,Never-married,Transport-moving,Husband,Asian-Pac-Islander,Female,0,115,69,United-States
17,State-gov,Assoc-voc,8,Divorced,Farming-fishing,Own-child,Other,Male,0,115,1,United-States
22,Private,7th-8th,13,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,0,115,39,United-States
24,Federal-gov,Doctorate,14,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,0,115,42,United-States
26,Local-gov,Prof-school,15,Never-married,Protective-serv,Wife,Other,Female,0,115,47,United-States
29,Self-emp-inc,5th-6th,1,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,115,51,United-States
34,Without-pay,10th,9,Married-spouse-absent,Priv-house-serv,Unmarried,Black,Female,0,115,69,United-States
37,Never-worked,1st-4th,11,Separated,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,115,1,United-States
90,State-gov,Preschool,13,Widowed,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,0,115,35,United-States
17,Self-emp-not-inc,12th,14,Never-married,Handlers-cleaners,Unmarried,White,Male,0,115,39,United-States
24,Local-gov,Bachelors,1,Married-AF-spouse,Prof-specialty,Other-relative,Other,Male,3820,1564,51,Cuba
26,Self-emp-inc,HS-grad,8,Widowed,Other-service,Not-in-family,Asian-Pac-Islander,Female,3103,1587,6,Cuba
29,Without-pay,11th,11,Never-married,Sales,Husband,Black,Male,4386,1816,35,Cuba
34,Never-worked,Masters,15,Married-civ-spouse,Craft-repair,Wife,Amer-Indian-Eskimo,Female,12099,1828,39,Cuba
37,State-gov,9th,9,Married-spouse-absent,Transport-moving,Own-child,Other,Male,3103,1894,42,Cuba
90,Self-emp-not-inc,Some-college,11,Separated,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Female,3820,2200,47,Cuba
17,Federal-gov,Assoc-acdm,13,Divorced,Machine-op-inspct,Wife,Black,Female,3103,2462,69,Cuba
22,Private,Assoc-voc,14,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,Female,4386,1564,1,Cuba
24,Self-emp-inc,7th-8th,15,Separated,Protective-serv,Own-child,Black,Male,12099,1816,69,Cuba
26,Without-pay,Doctorate,13,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,12099,1828,1,Cuba
29,Never-worked,Prof-school,14,Divorced,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,3820,1894,6,Cuba
34,State-gov,5th-6th,1,Never-married,Adm-clerical,Not-in-family,Other,Male,4386,2200,6,Cuba
37,Private,10th,1,Married-civ-spouse,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,12099,2462,47,Cuba
90,Federal-gov,1st-4th,8,Married-spouse-absent,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,4386,1587,51,Cuba
17,Self-emp-inc,Preschool,9,Never-married,Prof-specialty,Husband,Other,Female,3820,1828,42,Cuba
22,Without-pay,12th,1,Divorced,Other-service,Other-relative,Black,Female,3103,1894,47,Cuba
26,Never-worked,Bachelors,9,Widowed,Sales,Wife,Asian-Pac-Islander,Female,4386,2200,42,Jamaica
29,Self-emp-not-inc,HS-grad,15,Married-AF-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Female,3103,2462,1,Jamaica
34,Local-gov,11th,8,Separated,Transport-moving,Not-in-family,Other,Male,12099,1587,35,Jamaica
37,Federal-gov,Masters,9,Married-AF-spouse,Farming-fishing,Other-relative,Black,Female,3820,1816,6,Jamaica
90,Without-pay,9th,8,Married-civ-spouse,Machine-op-inspct,Own-child,Other,Female,3820,1564,39,Jamaica
17,State-gov,Some-college,11,Married-civ-spouse,Tech-support,Not-in-family,Other,Female,12099,1587,69,Jamaica
22,Private,Assoc-acdm,11,Widowed,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,3103,1828,51,Jamaica
24,Self-emp-not-inc,Assoc-voc,13,Married-spouse-absent,Armed-Forces,Husband,Black,Female,4386,1894,35,Jamaica
